aX,aY,aZ,gX,gY,gZ
1.043,0.105,0.410,18.372,1.343,8.301
1.006,0.142,0.395,18.982,5.859,12.939
0.961,0.151,0.312,17.334,8.911,15.442
0.936,0.179,0.311,13.245,8.179,16.479
0.890,0.239,0.322,8.423,7.751,16.052
0.873,0.268,0.315,8.057,7.507,13.916
0.856,0.295,0.305,7.324,7.751,11.169
0.861,0.269,0.224,5.493,6.897,6.042
0.879,0.264,0.204,2.197,5.188,3.967
0.904,0.215,0.162,-2.502,3.357,1.404
0.953,0.171,0.118,-3.540,4.150,1.160
0.991,0.175,0.166,-5.676,-1.404,2.136
0.939,0.209,0.225,-4.761,-8.118,4.944
0.926,0.246,0.242,3.845,8.911,-0.366
0.937,0.219,0.207,7.141,11.292,-3.723
0.922,0.247,0.211,7.568,8.118,-4.333
0.914,0.252,0.241,4.150,0.488,-4.456
0.935,0.201,0.214,3.296,-0.610,-5.310
0.942,0.179,0.241,-3.113,-3.052,-3.479
0.945,0.182,0.263,-3.113,-3.479,-2.197
